"","V1","V2","V3","cluster"
"454",34,26,40,"1"
"455",34,27,39,"1"
"456",34,28,38,"1"
"457",34,29,37,"3"
"458",34,30,36,"3"
"459",34,31,35,"3"
"460",34,32,34,"3"
"461",34,33,33,"3"
"462",34,34,32,"3"
"463",34,35,31,"3"
"464",34,36,30,"3"
"465",34,37,29,"3"
"466",34,38,28,"3"
"467",34,39,27,"3"
"468",34,40,26,"3"
"469",34,41,25,"3"
"470",35,20,45,"1"
"471",35,21,44,"1"
"472",35,22,43,"1"
"473",35,23,42,"1"
"474",35,24,41,"1"
"475",35,25,40,"1"
"476",35,26,39,"1"
"477",35,27,38,"1"
"478",35,28,37,"3"
"479",35,29,36,"3"
"480",35,30,35,"3"
"481",35,31,34,"3"
"482",35,32,33,"3"
"483",35,33,32,"3"
"484",35,34,31,"3"
"485",35,35,30,"3"
"486",35,36,29,"3"
"487",35,37,28,"3"
"488",35,38,27,"3"
"489",35,39,26,"3"
"490",35,40,25,"3"
"491",36,20,44,"1"
"492",36,21,43,"1"
"493",36,22,42,"1"
"494",36,23,41,"1"
"495",36,24,40,"1"
"496",36,25,39,"1"
"497",36,26,38,"1"
"498",36,27,37,"1"
"499",36,28,36,"3"
"500",36,29,35,"3"
"501",36,30,34,"3"
"502",36,31,33,"3"
"503",36,32,32,"3"
"504",36,33,31,"3"
"505",36,34,30,"3"
"506",36,35,29,"3"
"507",36,36,28,"3"
"508",36,37,27,"3"
"509",36,38,26,"3"
"510",36,39,25,"3"
"511",37,20,43,"1"
"512",37,21,42,"1"
"513",37,22,41,"1"
"514",37,23,40,"1"
"515",37,24,39,"1"
"516",37,25,38,"1"
"517",37,26,37,"1"
"518",37,27,36,"3"
"519",37,28,35,"3"
"520",37,29,34,"3"
"521",37,30,33,"3"
"522",37,31,32,"3"
"523",37,32,31,"3"
"524",37,33,30,"3"
"525",37,34,29,"3"
"526",37,35,28,"3"
"527",37,36,27,"3"
"528",37,37,26,"3"
"529",37,38,25,"3"
"530",38,20,42,"1"
"531",38,21,41,"1"
"532",38,22,40,"1"
"533",38,23,39,"1"
"534",38,24,38,"1"
"535",38,25,37,"2"
"536",38,26,36,"2"
"537",38,27,35,"2"
"538",38,28,34,"3"
"539",38,29,33,"3"
"540",38,30,32,"3"
"541",38,31,31,"3"
"542",38,32,30,"3"
"543",38,33,29,"3"
"544",38,34,28,"3"
"545",38,35,27,"3"
"546",38,36,26,"3"
"547",38,37,25,"3"
"548",39,20,41,"1"
"549",39,21,40,"1"
"550",39,22,39,"1"
"551",39,23,38,"2"
"552",39,24,37,"2"
"553",39,25,36,"2"
"554",39,26,35,"2"
"555",39,27,34,"2"
"556",39,28,33,"2"
"557",39,29,32,"3"
"558",39,30,31,"3"
"559",39,31,30,"3"
"560",39,32,29,"3"
"561",39,33,28,"3"
"562",39,34,27,"3"
